"X","Row.names","FPKM D0.A1_S9","FPKM D0.C7_S19","FPKM D0.C8_S20","FPKM D0","FPKM D2.A2_S10","FPKM D2.A3_S11","FPKM D2.A4_S12","FPKM D2","FPKM.A5_S21","FPKM.A6_S22","FPKM.A7_S23","FPKM.A8_S24","FPKM D5.B1_S1","FPKM D5.B2_S2","FPKM D5.B3_S15","FPKM D5","FPKM D10.B4_S4","FPKM D10.B5_S5","FPKM D10.B6_S18","FPKM D10","FPKM.B7_S7","FPKM.B8_S8","FPKM.C1_S13","FPKM.C2_S14","FPKM.C3_S15","FPKM.C4_S16","FPKM.C5_S17","FPKM.C6_S18","feature","pval","qval","gene_name","FC_0.2","FC_D2/D0","Log2FC_0.2","FC_0.5","FC_D5/D0","Log2FC_0.5","FC_0.10","FCD10/D0","Log2FC_0.10","FC_2.10","Log2FC_2.10","FC_2.v","Log2FC_2.v","mean0","mean2","mean5","mean10","meanCTL","meanvenus"
"1825","MSTRG.16298","5.461858","0","4.21287","3.2249093333333","6.59632","14.469744","4.518342","8.5281353333333","5.292694","1.809924","0","0.696545","5.2740022531799","5.135846","4.803073","5.07097375106","3.490856","6.0251105517868","6.129302","5.2150895172623","7.127845","9.269542","4.176153","13.53727","0","11.523918","1.609724","3.620205","gene","0.51525095272435","0.70447442218355","2-Mar","0.37903716730207","2.6444573945645","-1.3995887729993","0.41539063371403","1.5724391686443","-1.2674594084271","0.40391157103393","1.6171274842855","-1.3078886187296","1.0656252364614","0.091700154269745","0.62747115563152","-0.67237895388581","2.106435","5.557331","5.07097375106","5.2150895172623","2.6149645","8.8567115"
"2867","MSTRG.20242","8.958742","0","0","2.9862473333333","17.974733","1.7065","18.408697","12.696643333333","0.952451","0.036276","0","0.157958","8.420467","9.794749","9.141449","9.1188883333333","6.004041","6.709905","6.688344","6.46743","17.333941","17.975676","5.500058","5.877082","0","8.410876","8.846916","5.649348","gene","0.32165191665819","0.58474820651711","4-Mar","0","4.2517052059318","#REF!","0","3.0536279535676","#REF!","0","2.1657382252999","#REF!","2.8128197753976","1.4920171184295","3.1979416619642","1.6771436208812","0","18.191715","9.1188883333333","6.46743","7.248132","5.68857"
"4550","MSTRG.26719","1.57974","5.752288","5.540061","4.2906963333333","1.446869","1.120608","0.789274","1.118917","3.495077","2.806434","0","3.257838","2.418711","2.400527","2.022774","2.2806706666667","3.158949","3.661258","2.95255","3.2575856666667","3.179689","3.264325","3.115608","2.265385","12.793925","1.539952","3.702901","5.486762","gene","0.075942583020802","0.3881307021676","6-Mar","5.0499225675639","0.26077748530173","2.3362612666272","2.4756641028984","0.53153858709336","1.3078155835521","1.7332389928451","0.75922074497776","0.79347059853726","0.34322090480711","-1.5427906680899","0.4155632612791","-1.2668599794164","5.6461745","1.1180715","2.2806706666667","3.2575856666667","4.5948315","2.6904965"
"688","MSTRG.12588","4.5244118327684","4.4212115570621","12.174619435593","7.0400809418079","5.0108661129943","1.225177559322","2.9532139661017","3.0630858794727","10.547139936723","4.8856825790961","0","8.3199531813559","2.8851887954802","2.4127944384181","2.6758929627119","2.6579587322034","6.4440342101695","1.7705621378531","1.4672708564972","3.2272890681733","1.2385903909605","2.7879060949152","2.2684490169492","1.158280359322","0","0","0.52874277514124","3.4574982576271","gene","0.34997050097956","0.60382958337488","1-Sep","2.0838352738587","0.43509242362291","1.0592412377987","3.1219128407795","0.37754661546843","1.6424302599518","2.571172064554","0.45841647203341","1.3624261595191","1.2338653140241","0.30318492172036","2.3241053507885","1.2166754670278","8.2979154963277","3.982040039548","2.6579587322034","3.2272890681733","1.9931205163842","1.7133646881356"
"3588","MSTRG.22733","0","9.292806","4.613583","4.635463","0.090816","0.027768","0","0.039528","19.701712777062","4.269045121134","0","4.331975","0.136256","0.068191","0","0.068149","0.073508","0.069369","0.152569","0.098482","0.086999","0.069104","0","0","0","0","0","0","gene","0.14164750475997","0.44169252889979","3-Sep","153.12708113108","0.0085273035293346","7.2585856415117","102.02929610119","0.01470165979105","6.672839648554","70.603709307285","0.021245342698237","6.1416720752485","0.46107918198249","-1.1169135662632","Inf","Inf","6.9531945","0.045408","0.068149","0.098482","0","0"
"5476","MSTRG.30522","0.585356","0.717133","1.312799","0.87176266666667","0.693262","0.342269","0.745861","0.59379733333333","0.902887","0.437669","0","0.350327","0.476942","2.206198","1.15354","1.2788933333333","0.839542","1.148442","1.103105","1.030363","1.746619","1.809222","0.067946","0.016159","0","4.117007","2.372397","3.757747","gene","0.00021419610223739","0.036656172203068","7-Sep","1.4105340544206","0.68114563290926","0.49624149722494","0.79362834534024","1.4670200758004","-0.33346454074586","0.98505672272781","1.1819306324963","-0.021721292915344","0.69835727796903","-0.51796279014029","17.111027881814","4.096854521895","1.014966","0.7195615","1.2788933333333","1.030363","3.065072","0.0420525"
"4721","MSTRG.27620","2.7034494797688","1.597478036784","3.5760259800315","2.6256511655281","2.2968209479769","0.84002033420914","2.3383891245402","1.8250768022421","6.4297295533368","1.6815842107199","0","1.4697958943773","2.0966766074619","2.1638055034157","3.3729751466106","2.5444857524961","1.8531617635313","2.5907672306884","1.6607898013663","2.0349062651953","2.6669588145034","3.3585463279033","0.019940245927483","1.0094173116132","0","0.85902695112979","1.0472570593799","3.8480361760378","gene","0.082878779586282","0.39873222600171","8-Sep","1.1161315098727","0.69509492586194","0.15850702489396","1.0166109226079","0.96908751090104","0.023767636496729","1.2711897607527","0.77501013535666","0.34617940914866","1.1389247140758","0.18767238425469","4.5030126204069","2.170890521067","2.5867520084078","2.3176050362585","2.5444857524961","2.0349062651953","2.4476466177089","0.51467877877036"
"2671","MSTRG.19273","4.200242996319","5.0834806788344","3.8157193840491","4.3664810197342","5.255188993865","3.2541732441718","1.9738700981595","3.4944107787321","1.353194598773","1.7517459779141","0","1.4590325766871","1.3594480877301","2.6708099067485","3.4038104147239","2.4780228030675","2.9380805644172","3.6551736147239","2.2473780932515","2.9468774241309","3.4571488883436","5.6676882380368","8.6847817349693","0.83215369815951","0","0.59253506993865","1.1421448736196","3.1762729447853","gene","0.8384372840444","0.88077300493162","10-Sep","1.2310315837232","0.80028076680953","0.29986777652284","1.7956251354643","0.56751026555896","0.84448619659661","1.5099372627465","0.67488611786301","0.59448860742799","1.2265625697269","0.29462083090514","0.7595994680031","-0.39668919981274","4.4496000314417","3.6145295460123","2.4780228030675","2.9468774241309","2.1592089092025","4.7584677165644"
"3599","MSTRG.22775","2.3003477769376","4.6662050113422","5.2182656200378","4.0616061361059","2.763966020794","11.696331931947","11.64041239603","8.7002367829238","2.1677494229679","3.586179362949","0","3.3913383771267","13.284497586011","9.4653258251418","16.05689720983","12.935573540328","13.569834112949","6.0422707249527","10.866508706994","10.159537848299","14.531609218809","22.080049839792","0.70295648960303","0.54429074669187","0","8.8397089621928","0.1477628241966","0.89393058223062","gene","0.021741389059387","0.25061517171843","A4GALT","0.68621292397005","2.1420680615933","-0.54327179736265","0.3820654183042","3.1848419336716","-1.3881084132161","0.48646261173362","2.501359685762","-1.039599167454","0.70890913700549","-0.49632737009134","11.548935926781","3.5296880284443","4.94223531569","7.2021892084121","12.935573540328","10.159537848299","0.52084670321361","0.62362361814745"
"7970","MSTRG.7605","10.226337409442","14.088103845665","31.376207679528","18.563549644878","15.112928474807","3.6849961502497","16.347513783931","11.715146136329","14.81058093645","16.827636565592","0","15.569749100318","12.38222970631","8.2929977417158","11.051836364049","10.575687937358","11.401491633227","12.446725412619","11.886464876532","11.911560640793","17.280472655016","18.75273140581","4.9369979550613","3.3314382746255","0","5.8520591044031","0.75582085020427","11.21545675034","gene","0.040419686850517","0.31586622919872","AAAS","1.4451262684512","0.63108329820755","0.53119555425509","2.1494730080202","0.56970181563719","1.1039829938105","1.9084112022019","0.64166395267402","0.93237205994969","1.3205843972702","0.4011765056946","3.8048841866595","1.927852541541","22.732155762596","15.730221129369","10.575687937358","11.911560640793","5.9856388002723","4.1342181148434"
