"gene_name","Human Gene ID","HGNCID","Human Symbol"," Species","Mouse GeneID","MGIID","Mouse_Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From"
"ABCA1","19","29","ABCA1","Mouse","11303","99607","Abca1","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ABCA1","19","29","ABCA1","Mouse","11304","109424","Abca4","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ABCA1","19","29","ABCA1","Mouse","27403","1351646","Abca7","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","11305","99606","Abca2","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","74591","2676312","Abca12","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","27410","1351617","Abca3","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","217258","2386846","Abca8a","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","76184","1923434","Abca6","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","381072","3625331","Abca17","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","217265","2386607","Abca5","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","268379","2388707","Abca13","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","217262","2386796","Abca9","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","320631","2388709","Abca15","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","233810","2388711","Abca16","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","67928","2388708","Abca14","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABCA1","19","29","ABCA1","Mouse","27404","1351668","Abca8b","2","1.8","low","No","No","eggNOG, orthoMCL"
"ABHD17C","58489","26925","ABHD17C","Mouse","70178","1917428","Abhd17c","13","13.39","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam"
"ABHD17C","58489","26925","ABHD17C","Mouse","226016","1917816","Abhd17b","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ABHD17C","58489","26925","ABHD17C","Mouse","216169","106388","Abhd17a","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"ABLIM1","3983","78","ABLIM1","Mouse","226251","1194500","Ablim1","12","12.28","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ABLIM1","3983","78","ABLIM1","Mouse","231148","2385758","Ablim2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ABLIM1","3983","78","ABLIM1","Mouse","319713","2442582","Ablim3","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACD","65057","25070","ACD","Mouse","497652","87873","Acd","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ACOT9","23597","17152","ACOT9","Mouse","56360","1928939","Acot9","14","14.21","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"ACOT9","23597","17152","ACOT9","Mouse","64833","1928940","Acot10","13","12.77","moderate","No","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"ACSF2","80221","26101","ACSF2","Mouse","264895","2388287","Acsf2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ACSL4","2182","3571","ACSL4","Mouse","50790","1354713","Acsl4","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ACSL4","2182","3571","ACSL4","Mouse","74205","1921455","Acsl3","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ACSL4","2182","3571","ACSL4","Mouse","433256","1919129","Acsl5","2","1.8","low","No","No","eggNOG, orthoMCL"
"ACSL4","2182","3571","ACSL4","Mouse","14081","102797","Acsl1","2","1.8","low","No","No","eggNOG, orthoMCL"
"ACSL4","2182","3571","ACSL4","Mouse","216739","894291","Acsl6","2","1.8","low","No","No","eggNOG, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","11475","87909","Acta2","14","14.37","high","Yes","Yes","eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ACTA2","59","130","ACTA2","Mouse","11465","87906","Actg1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","11461","87904","Actb","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","11459","87902","Acta1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","11464","87905","Actc1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","238880","2444552","Actbl2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","11468","104589","Actg2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ACTA2","59","130","ACTA2","Mouse","226977","1917446","Actr1b","2","1.91","low","No","No","eggNOG, OrthoDB"
"ACTL6A","86","24124","ACTL6A","Mouse","56456","1861453","Actl6a","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ACTL6A","86","24124","ACTL6A","Mouse","83766","1933548","Actl6b","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11489","105378","Adam12","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADAM12","8038","190","ADAM12","Mouse","11501","107825","Adam8","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","13522","105988","Adam28","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11502","105376","Adam9","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11492","105377","Adam19","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"ADAM12","8038","190","ADAM12","Mouse","11490","1333882","Adam15","3","2.94","low","No","No","eggNOG, OrthoDB, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11500","107247","Adam7","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder"
"ADAM12","8038","190","ADAM12","Mouse","110751","1341813","Adam33","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"ADAM12","8038","190","ADAM12","Mouse","23793","1345157","Adam25","2","1.93","low","No","No","eggNOG, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11496","1340046","Adam22","2","1.93","low","No","No","eggNOG, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11488","1098667","Adam11","2","1.93","low","No","No","eggNOG, RoundUp"
"ADAM12","8038","190","ADAM12","Mouse","11499","104730","Adam5","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","244486","2676326","Adam29","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","11497","102518","Adam3","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","353188","2653822","Adam32","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","214321","3646380","Gm4787","2","1.91","moderate","No","Yes","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","280668","2429504","Adam1a","2","1.91","moderate","No","Yes","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","11495","1340894","Adam2","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","384806","2152342","Adam20","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","58860","1917650","Adamdec1","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","280667","2429506","Adam1b","2","1.91","moderate","No","Yes","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","13524","105986","Adam18","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","11498","104731","Adam4","2","1.91","moderate","No","Yes","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","71078","1918328","Adam30","2","1.91","low","No","No","eggNOG, OrthoDB"
"ADAM12","8038","190","ADAM12","Mouse","13525","105985","Adam26a","2","1.9","low","No","No","eggNOG, OrthoFinder"
"ADAM12","8038","190","ADAM12","Mouse","384813","3647273","Gm5346","2","1.9","low","No","No","eggNOG, OrthoFinder"
"ADAM12","8038","190","ADAM12","Mouse","382007","3588304","Adam26b","2","1.9","low","No","No","eggNOG, OrthoFinder"
"ADAM12","8038","190","ADAM12","Mouse","252866","2181992","Adam34","2","1.9","low","No","No","eggNOG, OrthoFinder"
"ADAMTS2","9509","218","ADAMTS2","Mouse","216725","1347356","Adamts2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"ADAMTS2","9509","218","ADAMTS2","Mouse","330119","3045353","Adamts3","2","1.91","low","No","No","OrthoDB, orthoMCL"
